Date_Signal,Heure_UTC,Asset_Class,Paire,Direction,Prix_Entree,SL,TP1,TP2,SL_Pips,TP1_Pips,TP2_Pips,Score,Conviction,Carry_Diff,RSI,EMA_Trend,H4,DXY_Context,ATR,Categorie,Date_Sortie,Prix_Sortie,Raison_Sortie,PnL_Pips,PnL_USD,Resultat,Notes
2026-08-28,13:27,Forex,USD/JPY,BUY,159.64700317382812,158.47958,161.20357,162.371,117.0,156.0,272.0,72.0,77.0,2.62,68.6,MIXED,BULLISH,NEUTRE,0.77828,G10_SafeHaven,,,,,,,auto-log
2026-08-28,13:27,Forex,USD/CHF,BUY,0.8044599890708923,0.79614,0.81555,0.82387,83.0,111.0,194.0,67.1,72.1,3.62,44.6,BULLISH,NEUTRAL,NEUTRE,0.00555,G10_SafeHaven,,,,,,,auto-log
2026-08-28,13:27,Forex,GBP/JPY,BUY,216.718994140625,215.29206,218.62157,220.0485,143.0,190.0,333.0,70.6,65.6,2.75,76.8,BULLISH,NEUTRAL,NEUTRE,0.95129,G10_Cross,,,,,,,auto-log
2026-08-28,13:27,Forex,AUD/JPY,BUY,114.9229965209961,113.8656,116.33285,117.39025,106.0,141.0,247.0,75.2,75.2,3.35,86.5,BULLISH,BULLISH,NEUTRE,0.70493,G10_Cross,,,,,,,auto-log
2026-08-28,13:27,Forex,AUD/NZD,BUY,1.2098699808120728,1.1992,1.2241,1.23476,107.0,142.0,249.0,65.9,70.9,1.85,62.0,MIXED,BULLISH,NEUTRE,0.00711,G10_Cross,,,,,,,auto-log
2026-08-28,13:27,Forex,USD/MXN,SELL,16.965579986572266,17.10953,16.81545,16.70286,1440.0,1501.0,2627.0,25.6,69.4,-2.88,25.9,BEARISH,NEUTRAL,NEUTRE,0.07506,EM_LatAm,,,,,,,auto-log
2026-08-28,13:27,Forex,USD/BRL,SELL,5.187900066375732,5.27038,5.07792,4.99544,825.0,1100.0,1925.0,16.7,83.3,-10.38,65.2,MIXED,NEUTRAL,NEUTRE,0.05499,EM_LatAm,,,,,,,auto-log
2026-08-28,13:27,Forex,USD/ZAR,SELL,16.02039909362793,16.19053,15.79356,15.62342,1701.0,2268.0,3970.0,27.2,77.8,-3.38,39.8,BEARISH,NEUTRAL,NEUTRE,0.11342,EM_Africa,,,,,,,auto-log
2026-08-28,13:27,Forex,USD/HUF,SELL,313.3699951171875,318.23256,306.88657,302.02401,486.0,648.0,1135.0,30.4,74.6,-2.13,48.0,BEARISH,NEUTRAL,NEUTRE,3.24171,EM_Europe,,,,,,,auto-log
2026-08-28,13:27,Indices,S&P 500,BUY,7730.99,7659.18,7826.74,7898.55,,,,75.1,75.1,,46.9,BULLISH,BULLISH,,47.8728,Indices,,,,,,,auto-log
